Latitude,Longitude
44.68056,-63.61765
44.68035,-63.617
44.6802,-63.61649
44.6801,-63.61595
44.68001,-63.6155
44.67987,-63.615
44.67973,-63.61455
44.67959,-63.61417
44.67938,-63.6138
44.67916,-63.61349
44.67898,-63.61322
44.67871,-63.61291
44.67848,-63.61275
44.67813,-63.61251
44.67795,-63.61231
44.67766,-63.61192
44.66686,-63.58723
44.66425,-63.58086
44.66389,-63.57993
44.66364,-63.58003
44.66331,-63.5801
44.66301,-63.58012
44.66277,-63.58029
44.66259,-63.58052
44.66243,-63.58061
44.66238,-63.5808
44.66241,-63.58113
44.66249,-63.58156
44.66266,-63.58204
44.66293,-63.58278
44.66349,-63.58372
44.66437,-63.58477
44.6207,-63.5437
44.62161,-63.54368
44.62248,-63.54367
44.62318,-63.5435
44.62354,-63.54326
44.62398,-63.54297
44.62465,-63.54226
44.6251,-63.54152
44.62549,-63.54098
44.62586,-63.54069
44.62631,-63.54041
44.62677,-63.54016
44.62723,-63.53994
44.62771,-63.53971
44.62824,-63.53969
44.62871,-63.53965
44.62913,-63.53959
44.62956,-63.53949
44.62961,-63.53949
44.62999,-63.53941
44.63483,-63.53166
44.63465,-63.53204
44.63447,-63.53239
44.63428,-63.53286
44.63402,-63.53341
44.63375,-63.53402
44.63352,-63.53468
44.63327,-63.53531
44.63296,-63.53592
44.63272,-63.53645
44.6324,-63.53691
44.6322,-63.53756
44.63196,-63.53798
44.63144,-63.53833
44.63111,-63.53869
44.6307,-63.539
44.63046,-63.53949
44.63486,-63.54523
44.64357,-63.55026
44.64698,-63.55145
44.64673,-63.55191
44.64651,-63.5523
44.64622,-63.5528
44.64595,-63.5533
44.64565,-63.55376
44.64529,-63.5542
44.64495,-63.55464
44.64462,-63.5551
44.64427,-63.55559
44.64387,-63.55604
44.64347,-63.55646
44.6431,-63.55678
44.64351,-63.55285
44.64368,-63.54544
44.6445,-63.54435
44.64362,-63.54461
44.64337,-63.5449
44.64293,-63.54514
44.64264,-63.54543
44.6422,-63.54591
44.64181,-63.54632
44.6413,-63.54684
44.64281,-63.54501
44.64365,-63.54432
44.64325,-63.54477
44.64283,-63.54528
44.64234,-63.54583
44.64184,-63.54634
44.6413,-63.54691
44.6386,-63.54342
44.63394,-63.53438
44.63426,-63.52979
44.63411,-63.53035
44.63407,-63.53106
44.63389,-63.53177
44.63359,-63.53242
44.63332,-63.53308
44.63301,-63.53389
44.63272,-63.53466
44.63241,-63.53562
44.63201,-63.53644
44.63154,-63.53718
44.63117,-63.53827
44.6307,-63.53905
44.62482,-63.53917
44.62239,-63.53883
44.62234,-63.53872
44.62218,-63.53868
44.6452,-63.55247
44.64197,-63.54395
44.64127,-63.54595
44.63972,-63.54353
44.64101,-63.54574
